Item,Year,Value
Peppermint,2018,0
"Cashew nuts, with shell",2018,223
Fibre crops nes,2018,371
Vanilla,2018,459
Cloves,2018,1322
Olives,2018,2630
Hops,2018,8407
String beans,2018,10789
Hempseed,2018,11822
Hemp tow waste,2018,12623
Sisal,2018,12989
Flax fibre and tow,2018,13416
Figs,2018,13914
Chick peas,2018,15652
"Cow peas, dry",2018,15652
Mustard seed,2018,18582
"Bastfibres, other",2018,21510
"Hazelnuts, with shell",2018,24790
Castor oil seed,2018,27000
Melonseed,2018,30112
Jute,2018,30497
Safflower seed,2018,32950
Pepper (piper spp.),2018,36345
Cherries,2018,37577
Roots and tubers nes,2018,49676
"Almonds, with shell",2018,49879
"Anise, badian, fennel, coriander",2018,56395
Berries nes,2018,62212
Pistachios,2018,74828
Apricots,2018,76193
Cinnamon (cannella),2018,81545
Cereals nes,2018,88991
Artichokes,2018,90397
"Coffee, green",2018,100332
Areca nuts,2018,102918
Ramie,2018,104125
"Maize, green",2018,106884
Spices nes,2018,114197
Quinces,2018,118593
Avocados,2018,128743
Nuts nes,2018,144065
Pulses nes,2018,154113
"Leeks, other alliaceous vegetables",2018,156935
Dates,2018,158294
"Fruit, stone nes",2018,167011
Papayas,2018,167666
Lentils,2018,172173
"Vegetables, leguminous nes",2018,209385
"Chillies and peppers, dry",2018,321290
Tung nuts,2018,348000
Linseed,2018,365511
Coconuts,2018,402684
Sesame seed,2018,433386
Ginger,2018,533407
Oil palm fruit,2018,672760
Triticale,2018,773536
"Rubber, natural",2018,824000
Oats,2018,1004592
Rye,2018,1044776
Tallowtree seed,2018,1048526
"Onions, shallots, green",2018,1063620
Buckwheat,2018,1134988
"Beans, dry",2018,1337552
Barley,2018,1487906
"Peas, dry",2018,1525476
Millet,2018,1566363
"Walnuts, with shell",2018,1586367
"Broad beans, horse beans, dry",2018,1806010
Taro (cocoyam),2018,1952837
Chestnut,2018,1965351
Pineapples,2018,2005555
Kiwi fruit,2018,2035158
Sorghum,2018,2194361
"Tobacco, unmanufactured",2018,2242177
Lemons and limes,2018,2524315
Sunflower seed,2018,2550000
Tea,2018,2625138
Oilseeds nes,2018,2652751
Strawberries,2018,2964263
"Fruit, fresh nes",2018,3000820
Persimmons,2018,3168759
"Fruit, tropical fresh nes",2018,4253043
Cassava,2018,4926004
"Mangoes, mangosteens, guavas",2018,4992114
Grapefruit (inc. pomelos),2018,5056331
"Fruit, citrus nes",2018,5864891
Mushrooms and truffles,2018,6675364
Plums and sloes,2018,6801187
Asparagus,2018,7984812
"Pumpkins, squash and gourds",2018,8186851
Oranges,2018,9246305
Cauliflowers and broccoli,2018,10737381
Bananas,2018,11577938
Sugar beet,2018,12077618
"Melons, other (inc.cantaloupes)",2018,12788218
"Peas, green",2018,12965126
Rapeseed,2018,13281208
Grapes,2018,13494811
Soybeans,2018,14193621
Peaches and nectarines,2018,15217797
Lettuce and chicory,2018,15546415
Pears,2018,16196649
"Groundnuts, with shell",2018,17392071
Seed cotton,2018,17711962
Carrots and turnips,2018,18018809
"Chillies and peppers, green",2018,18214018
"Tangerines, mandarins, clementines, satsumas",2018,19213648
"Beans, green",2018,19909982
Garlic,2018,22333877
Spinach,2018,23805539
"Onions, dry",2018,24775344
Cabbages and other brassicas,2018,33840686
Eggplants (aubergines),2018,34137557
Apples,2018,39235019
Sweet potatoes,2018,53245657
Cucumbers and gherkins,2018,56293530
Tomatoes,2018,61631581
Watermelons,2018,63024614
Potatoes,2018,90321442
Sugar cane,2018,108718971
Wheat,2018,131447224
"Rice, paddy (rice milled equivalent)",2018,142790557
"Vegetables, fresh nes",2018,174861648
"Rice, paddy",2018,214078796
Maize,2018,257348659
Blueberries,2018,
"Cocoa, beans",2018,
Karite nuts (sheanuts),2018,
